seq,site_id,brand_short,slug,genre,title,article_url,machine_status,expert_label,audit_ok,audit_patterns,review_priority,reviewed,reviewed_at,review_notes
12,boiler-master.jp,ボイラー,scope-revision-history,出題・形式,2級ボイラー技士試験の出題範囲の改定履歴,https://boiler-master.jp/articles/scope-revision-history/,hand_done,yes,no,week_template,A,no,,
13,boiler-master.jp,ボイラー,scope-vs-past-questions,出題・形式,2級ボイラー技士試験の出題範囲と過去問の対応,https://boiler-master.jp/articles/scope-vs-past-questions/,hand_done,yes,no,week_template,A,no,,
14,boiler-master.jp,ボイラー,subject-breakdown,出題・形式,2級ボイラー技士試験の科目構成と配点,https://boiler-master.jp/articles/subject-breakdown/,hand_done,yes,no,week_template,A,no,,
15,boiler-master.jp,ボイラー,syllabus-how-to-read,出題・形式,2級ボイラー技士試験の試験要項·シラバスの読み方,https://boiler-master.jp/articles/syllabus-how-to-read/,hand_done,yes,no,week_template,A,no,,
16,boiler-master.jp,ボイラー,time-limit-strategy,出題・形式,2級ボイラー技士試験の時間配分の戦略,https://boiler-master.jp/articles/time-limit-strategy/,hand_done,yes,no,week_template,A,no,,
17,boiler-master.jp,ボイラー,weight-by-topic,出題・形式,2級ボイラー技士試験の分野別配点と優先順位,https://boiler-master.jp/articles/weight-by-topic/,hand_done,yes,no,week_template,A,no,,
18,boiler-master.jp,ボイラー,blowdown-blow-management,分野別対策,2級ボイラー技士試験｜吹出し・ブロー・連続吹出しの管理｜水質と効率の試験対策,https://boiler-master.jp/articles/blowdown-blow-management/,hand_done,yes,no,week_template,A,no,,
19,boiler-master.jp,ボイラー,boiler-classification-guide,分野別対策,ボイラー区分の覚え方｜小型・簡易・伝熱面積,https://boiler-master.jp/articles/boiler-classification-guide/,hand_done,yes,no,week_template,A,no,,
20,boiler-master.jp,ボイラー,boiler-room,分野別対策,ボイラー室の法令対策｜通路・換気・可燃物・燃料タンク,https://boiler-master.jp/articles/boiler-room/,hand_done,yes,no,week_template,A,no,,
21,boiler-master.jp,ボイラー,chief-operator,分野別対策,ボイラー取扱作業主任者の職務と覚え方,https://boiler-master.jp/articles/chief-operator/,hand_done,yes,no,week_template,A,no,,
22,boiler-master.jp,ボイラー,combustion-fault-guide,分野別対策,2級ボイラー技士試験｜燃焼不良の原因と対策｜黒煙・不完全燃焼の試験ポイント,https://boiler-master.jp/articles/combustion-fault-guide/,hand_done,yes,no,week_template,A,no,,
23,boiler-master.jp,ボイラー,combustion-past-questions,分野別対策,2級ボイラー技士試験｜燃焼分野の過去問の解き方｜空気比・燃料・排ガス,https://boiler-master.jp/articles/combustion-past-questions/,hand_done,yes,no,week_template,A,no,,
24,boiler-master.jp,ボイラー,deaerator-feedwater,分野別対策,脱気器と給水処理｜2級ボイラー技士の取扱い・水質対策,https://boiler-master.jp/articles/deaerator-feedwater/,hand_done,yes,no,week_template,A,no,,
25,boiler-master.jp,ボイラー,draft-fan-flue-gas,分野別対策,吸送風機と排ガス｜2級ボイラー技士の構造・燃焼対策,https://boiler-master.jp/articles/draft-fan-flue-gas/,hand_done,yes,no,week_template,A,no,,
26,boiler-master.jp,ボイラー,drum-separator-structure,分野別対策,ドラム・汽水分離の構造｜2級ボイラー技士の構造対策,https://boiler-master.jp/articles/drum-separator-structure/,hand_done,yes,no,week_template,A,no,,
27,boiler-master.jp,ボイラー,economizer-air-preheater,分野別対策,エコノマイザーと空気予熱器｜2級ボイラー技士の構造・効率対策,https://boiler-master.jp/articles/economizer-air-preheater/,hand_done,yes,no,week_template,A,no,,
28,boiler-master.jp,ボイラー,field-fuel-basics,分野別対策,2級ボイラー技士試験の燃料と燃焼に関する知識の基礎の押さえ方,https://boiler-master.jp/articles/field-fuel-basics/,hand_done,yes,no,week_template,A,no,,
29,boiler-master.jp,ボイラー,field-fuel-calculation,分野別対策,2級ボイラー技士試験の燃料と燃焼に関する知識の計算・数値問題,https://boiler-master.jp/articles/field-fuel-calculation/,hand_done,yes,no,week_template,A,no,,
30,boiler-master.jp,ボイラー,field-fuel-case-study,分野別対策,2級ボイラー技士試験の燃料と燃焼に関する知識の事例・ケース問題,https://boiler-master.jp/articles/field-fuel-case-study/,hand_done,yes,no,week_template,A,no,,
31,boiler-master.jp,ボイラー,field-fuel-frequent-topics,分野別対策,2級ボイラー技士試験の燃料と燃焼に関する知識の頻出論点,https://boiler-master.jp/articles/field-fuel-frequent-topics/,hand_done,yes,no,week_template,A,no,,
32,boiler-master.jp,ボイラー,field-fuel-past-question-focus,分野別対策,2級ボイラー技士試験の燃料と燃焼に関する知識の過去問での出題傾向,https://boiler-master.jp/articles/field-fuel-past-question-focus/,hand_done,yes,no,week_template,A,no,,
33,boiler-master.jp,ボイラー,field-handling-basics,分野別対策,2級ボイラー技士試験のボイラーの取扱いに関する知識の基礎の押さえ方,https://boiler-master.jp/articles/field-handling-basics/,hand_done,yes,no,week_template,A,no,,
34,boiler-master.jp,ボイラー,field-handling-calculation,分野別対策,2級ボイラー技士試験のボイラーの取扱いに関する知識の計算・数値問題,https://boiler-master.jp/articles/field-handling-calculation/,hand_done,yes,no,week_template,A,no,,
35,boiler-master.jp,ボイラー,field-handling-case-study,分野別対策,2級ボイラー技士試験のボイラーの取扱いに関する知識の事例・ケース問題,https://boiler-master.jp/articles/field-handling-case-study/,hand_done,yes,no,week_template,A,no,,
36,boiler-master.jp,ボイラー,field-handling-frequent-topics,分野別対策,2級ボイラー技士試験のボイラーの取扱いに関する知識の頻出論点,https://boiler-master.jp/articles/field-handling-frequent-topics/,hand_done,yes,no,week_template,A,no,,
37,boiler-master.jp,ボイラー,field-handling-past-question-focus,分野別対策,2級ボイラー技士試験のボイラーの取扱いに関する知識の過去問での出題傾向,https://boiler-master.jp/articles/field-handling-past-question-focus/,hand_done,yes,no,week_template,A,no,,
38,boiler-master.jp,ボイラー,field-law-basics,分野別対策,2級ボイラー技士試験の関係法令の基礎の押さえ方,https://boiler-master.jp/articles/field-law-basics/,hand_done,yes,no,week_template,A,no,,
39,boiler-master.jp,ボイラー,field-law-calculation,分野別対策,2級ボイラー技士試験の関係法令の計算・数値問題,https://boiler-master.jp/articles/field-law-calculation/,hand_done,yes,no,week_template,A,no,,
40,boiler-master.jp,ボイラー,field-law-case-study,分野別対策,2級ボイラー技士試験の関係法令の事例・ケース問題,https://boiler-master.jp/articles/field-law-case-study/,hand_done,yes,no,week_template,A,no,,
41,boiler-master.jp,ボイラー,field-law-frequent-topics,分野別対策,2級ボイラー技士試験の関係法令の頻出論点,https://boiler-master.jp/articles/field-law-frequent-topics/,hand_done,yes,no,week_template,A,no,,
42,boiler-master.jp,ボイラー,field-law-past-question-focus,分野別対策,2級ボイラー技士試験の関係法令の過去問での出題傾向,https://boiler-master.jp/articles/field-law-past-question-focus/,hand_done,yes,no,week_template,A,no,,
43,boiler-master.jp,ボイラー,field-structure-basics,分野別対策,2級ボイラー技士試験のボイラーの構造に関する知識の基礎の押さえ方,https://boiler-master.jp/articles/field-structure-basics/,hand_done,yes,no,week_template,A,no,,
44,boiler-master.jp,ボイラー,field-structure-calculation,分野別対策,2級ボイラー技士試験のボイラーの構造に関する知識の計算・数値問題,https://boiler-master.jp/articles/field-structure-calculation/,hand_done,yes,no,week_template,A,no,,
45,boiler-master.jp,ボイラー,field-structure-case-study,分野別対策,2級ボイラー技士試験のボイラーの構造に関する知識の事例・ケース問題,https://boiler-master.jp/articles/field-structure-case-study/,hand_done,yes,no,week_template,A,no,,
46,boiler-master.jp,ボイラー,field-structure-frequent-topics,分野別対策,2級ボイラー技士試験のボイラーの構造に関する知識の頻出論点,https://boiler-master.jp/articles/field-structure-frequent-topics/,hand_done,yes,no,week_template,A,no,,
47,boiler-master.jp,ボイラー,field-structure-past-question-focus,分野別対策,2級ボイラー技士試験のボイラーの構造に関する知識の過去問での出題傾向,https://boiler-master.jp/articles/field-structure-past-question-focus/,hand_done,yes,no,week_template,A,no,,
48,boiler-master.jp,ボイラー,fuel-combustion-subject,分野別対策,2級ボイラー技士試験｜燃料と燃焼に関する知識の対策｜空気比・燃焼管理・排ガス,https://boiler-master.jp/articles/fuel-combustion-subject/,hand_done,yes,no,week_template,A,no,,
49,boiler-master.jp,ボイラー,gas-fuel-safety-guide,分野別対策,2級ボイラー技士試験｜ガス燃料の安全対策｜漏えい·パージ·爆発範囲,https://boiler-master.jp/articles/gas-fuel-safety-guide/,hand_done,yes,no,week_template,A,no,,
50,boiler-master.jp,ボイラー,handling-past-questions,分野別対策,2級ボイラー技士試験｜取扱い分野の過去問の解き方｜水位・点火・異常時,https://boiler-master.jp/articles/handling-past-questions/,hand_done,yes,no,week_template,A,no,,
51,boiler-master.jp,ボイラー,handling-subject,分野別対策,ボイラーの取扱いに関する知識の対策｜水位・点火・異常時対応,https://boiler-master.jp/articles/handling-subject/,hand_done,yes,no,week_template,A,no,,
52,boiler-master.jp,ボイラー,heavy-oil-handling-guide,分野別対策,2級ボイラー技士試験｜重油取扱いの試験対策｜加熱·粘度·霧化,https://boiler-master.jp/articles/heavy-oil-handling-guide/,hand_done,yes,no,week_template,A,no,,
53,boiler-master.jp,ボイラー,inspection-certificate,分野別対策,ボイラー検査証と性能検査｜法令問題で迷いやすい手続,https://boiler-master.jp/articles/inspection-certificate/,hand_done,yes,no,week_template,A,no,,
54,boiler-master.jp,ボイラー,inspection-renewal-flow,分野別対策,ボイラー検査証の更新・性能検査の流れ｜法令試験対策,https://boiler-master.jp/articles/inspection-renewal-flow/,hand_done,yes,no,week_template,A,no,,
55,boiler-master.jp,ボイラー,inspection-types-summary,分野別対策,ボイラー検査の種類まとめ｜落成・使用・性能・変更,https://boiler-master.jp/articles/inspection-types-summary/,hand_done,yes,no,week_template,A,no,,
56,boiler-master.jp,ボイラー,law-past-questions,分野別対策,2級ボイラー技士試験｜関係法令の過去問の解き方｜検査・届出・作業主任者,https://boiler-master.jp/articles/law-past-questions/,hand_done,yes,no,week_template,A,no,,
57,boiler-master.jp,ボイラー,law-subject,分野別対策,2級ボイラー技士試験｜関係法令の対策｜検査・届出・作業主任者を整理する,https://boiler-master.jp/articles/law-subject/,hand_done,yes,no,week_template,A,no,,
58,boiler-master.jp,ボイラー,legal-updates,分野別対策,法令改正に注意した2級ボイラー技士試験対策,https://boiler-master.jp/articles/legal-updates/,hand_done,yes,no,week_template,A,no,,
59,boiler-master.jp,ボイラー,notification-types-summary,分野別対策,ボイラー関連届出の種類まとめ｜設置・変更・休止・廃止,https://boiler-master.jp/articles/notification-types-summary/,hand_done,yes,no,week_template,A,no,,
60,boiler-master.jp,ボイラー,notifications,分野別対策,2級ボイラー技士試験の設置届・変更届・休止届・廃止届の整理,https://boiler-master.jp/articles/notifications/,hand_done,yes,no,week_template,A,no,,
61,boiler-master.jp,ボイラー,soot-blower-ash-handling,分野別対策,スートブロワと灰・スラグ処理｜2級ボイラー技士の燃焼・取扱い対策,https://boiler-master.jp/articles/soot-blower-ash-handling/,hand_done,yes,no,week_template,A,no,,
62,boiler-master.jp,ボイラー,steam-drain-management,分野別対策,蒸気配管のドレン・暖管管理｜2級ボイラー技士の取扱い対策,https://boiler-master.jp/articles/steam-drain-management/,hand_done,yes,no,week_template,A,no,,
63,boiler-master.jp,ボイラー,steam-trap-management,分野別対策,蒸気トラップとドレン管理｜2級ボイラー技士の取扱い対策,https://boiler-master.jp/articles/steam-trap-management/,hand_done,yes,no,week_template,A,no,,
64,boiler-master.jp,ボイラー,structure-past-questions,分野別対策,2級ボイラー技士試験｜構造分野の過去問の解き方｜装置名と役割の整理,https://boiler-master.jp/articles/structure-past-questions/,hand_done,yes,no,week_template,A,no,,
65,boiler-master.jp,ボイラー,structure-subject,分野別対策,ボイラーの構造に関する知識の対策｜頻出装置と覚え方,https://boiler-master.jp/articles/structure-subject/,hand_done,yes,no,week_template,A,no,,
66,boiler-master.jp,ボイラー,water-quality-study-guide,分野別対策,ボイラー水質管理の試験対策｜硬度·pH·薬注の覚え方,https://boiler-master.jp/articles/water-quality-study-guide/,hand_done,yes,no,week_template,A,no,,
67,boiler-master.jp,ボイラー,concurrent-exam-rules,受験・申込,2級ボイラー技士試験の併願・同日受験のルール,https://boiler-master.jp/articles/concurrent-exam-rules/,hand_done,yes,no,week_template,A,no,,
68,boiler-master.jp,ボイラー,education-requirement,受験・申込,2級ボイラー技士試験の学歴要件と受験資格,https://boiler-master.jp/articles/education-requirement/,hand_done,yes,no,week_template,A,no,,
69,boiler-master.jp,ボイラー,exam-application-flow,受験・申込,2級ボイラー技士試験の申込みの流れ,https://boiler-master.jp/articles/exam-application-flow/,hand_done,yes,no,week_template,A,no,,
70,boiler-master.jp,ボイラー,exam-eligibility,受験・申込,2級ボイラー技士試験の受験資格,https://boiler-master.jp/articles/exam-eligibility/,hand_done,yes,no,week_template,A,no,,
71,boiler-master.jp,ボイラー,exam-fees,受験・申込,2級ボイラー技士試験の受験料,https://boiler-master.jp/articles/exam-fees/,hand_done,yes,no,week_template,A,no,,
72,boiler-master.jp,ボイラー,exam-schedule,受験・申込,2級ボイラー技士試験の試験日程,https://boiler-master.jp/articles/exam-schedule/,hand_done,yes,no,week_template,A,no,,
73,boiler-master.jp,ボイラー,exemption-system,受験・申込,2級ボイラー技士試験の免除制度,https://boiler-master.jp/articles/exemption-system/,hand_done,yes,no,week_template,A,no,,
74,boiler-master.jp,ボイラー,practical-experience-exam,受験・申込,2級ボイラー技士試験｜実務経験と試験勉強のつなげ方｜現場知識を活かす,https://boiler-master.jp/articles/practical-experience-exam/,hand_done,yes,no,week_template,A,no,,
75,boiler-master.jp,ボイラー,work-experience-requirement,受験・申込,2級ボイラー技士試験の実務経験と受験資格,https://boiler-master.jp/articles/work-experience-requirement/,hand_done,yes,no,week_template,A,no,,
76,boiler-master.jp,ボイラー,difficulty-for-beginners,合格・難易度,2級ボイラー技士試験の初学者向け難易度の見方,https://boiler-master.jp/articles/difficulty-for-beginners/,hand_done,yes,no,week_template,A,no,,
77,boiler-master.jp,ボイラー,exam-difficulty,合格・難易度,2級ボイラー技士試験の難易度,https://boiler-master.jp/articles/exam-difficulty/,hand_done,yes,no,week_template,A,no,,
78,boiler-master.jp,ボイラー,pass-rate,合格・難易度,2級ボイラー技士試験の合格率,https://boiler-master.jp/articles/pass-rate/,hand_done,yes,no,week_template,A,no,,
79,boiler-master.jp,ボイラー,pass-rate-how-to-read,合格・難易度,2級ボイラー技士試験の合格率・統計の読み方,https://boiler-master.jp/articles/pass-rate-how-to-read/,hand_done,yes,no,week_template,A,no,,
80,boiler-master.jp,ボイラー,pass-score,合格・難易度,2級ボイラー技士試験の合格点,https://boiler-master.jp/articles/pass-score/,hand_done,yes,no,week_template,A,no,,
81,boiler-master.jp,ボイラー,balance-work-study,学習計画,2級ボイラー技士試験の仕事と勉強の両立,https://boiler-master.jp/articles/balance-work-study/,hand_done,yes,no,week_template,A,no,,
82,boiler-master.jp,ボイラー,first-30-days-plan,学習計画,2級ボイラー技士試験の最初の30日の学習計画,https://boiler-master.jp/articles/first-30-days-plan/,hand_done,yes,no,week_template,A,no,,
83,boiler-master.jp,ボイラー,retake-study-plan,学習計画,2級ボイラー技士試験の再受験者向け・弱点克服の学習プラン,https://boiler-master.jp/articles/retake-study-plan/,hand_done,yes,no,week_template,A,no,,
84,boiler-master.jp,ボイラー,six-month-study-plan,学習計画,6か月で2級ボイラー技士を目指す学習計画,https://boiler-master.jp/articles/six-month-study-plan/,hand_done,yes,no,week_template,A,no,,
85,boiler-master.jp,ボイラー,study-plan-1year,学習計画,2級ボイラー技士試験の1年学習計画,https://boiler-master.jp/articles/study-plan-1year/,hand_done,yes,no,week_template,A,no,,
86,boiler-master.jp,ボイラー,study-plan-3months,学習計画,2級ボイラー技士試験の3ヶ月学習計画,https://boiler-master.jp/articles/study-plan-3months/,hand_done,yes,no,week_template,A,no,,
87,boiler-master.jp,ボイラー,study-plan-6months,学習計画,2級ボイラー技士試験の6ヶ月学習計画,https://boiler-master.jp/articles/study-plan-6months/,hand_done,yes,no,week_template,A,no,,
88,boiler-master.jp,ボイラー,study-plan-beginner,学習計画,2級ボイラー技士試験の初学者向け学習計画,https://boiler-master.jp/articles/study-plan-beginner/,hand_done,yes,no,week_template,A,no,,
89,boiler-master.jp,ボイラー,study-plan-working,学習計画,2級ボイラー技士試験の社会人向け学習計画,https://boiler-master.jp/articles/study-plan-working/,hand_done,yes,no,week_template,A,no,,
90,boiler-master.jp,ボイラー,three-month-study-plan,学習計画,3か月で2級ボイラー技士を目指す学習計画の立て方,https://boiler-master.jp/articles/three-month-study-plan/,hand_done,yes,no,week_template,A,no,,
91,boiler-master.jp,ボイラー,time-management,学習計画,2級ボイラー技士試験の時間管理と習慣化,https://boiler-master.jp/articles/time-management/,hand_done,yes,no,week_template,A,no,,
92,boiler-master.jp,ボイラー,weekend-intensive-study,学習計画,2級ボイラー技士試験の週末集中学習｜平日忙しい人向け,https://boiler-master.jp/articles/weekend-intensive-study/,hand_done,yes,no,week_template,A,no,,
93,boiler-master.jp,ボイラー,almost-correct-review,復習・苦手克服,2級ボイラー技士試験の惜しい問題の見直し｜2択まで絞った誤答,https://boiler-master.jp/articles/almost-correct-review/,hand_done,yes,no,week_template,A,no,,
94,boiler-master.jp,ボイラー,auxiliary-equipment-checklist,復習・苦手克服,2級ボイラー技士試験の附属設備点検｜異常時の試験対策,https://boiler-master.jp/articles/auxiliary-equipment-checklist/,hand_done,yes,no,week_template,A,no,,
95,boiler-master.jp,ボイラー,combustion-sequence-control,復習・苦手克服,2級ボイラー技士試験の燃焼制御·順序制御｜点火から停止まで,https://boiler-master.jp/articles/combustion-sequence-control/,hand_done,yes,no,week_template,A,no,,
96,boiler-master.jp,ボイラー,exam-scope-outline,復習・苦手克服,2級ボイラー技士試験の出題範囲｜4科目のつながりと学習順序,https://boiler-master.jp/articles/exam-scope-outline/,hand_done,yes,no,week_template,A,no,,
97,boiler-master.jp,ボイラー,exam-time-allocation,復習・苦手克服,2級ボイラー技士試験の時間配分｜本番での解き方,https://boiler-master.jp/articles/exam-time-allocation/,hand_done,yes,no,week_template,A,no,,
98,boiler-master.jp,ボイラー,mistake-notebook,復習・苦手克服,2級ボイラー技士試験の間違いノートの作り方｜科目別パターン記録,https://boiler-master.jp/articles/mistake-notebook/,hand_done,yes,no,week_template,A,no,,
99,boiler-master.jp,ボイラー,note-taking-method,復習・苦手克服,2級ボイラー技士試験のノートの取り方｜4科目1枚メモ,https://boiler-master.jp/articles/note-taking-method/,hand_done,yes,no,week_template,A,no,,
100,boiler-master.jp,ボイラー,passing-score,復習・苦手克服,2級ボイラー技士試験の合格基準と科目別バランス対策,https://boiler-master.jp/articles/passing-score/,hand_done,yes,no,week_template,A,no,,
101,boiler-master.jp,ボイラー,plateau-breakthrough,復習・苦手克服,2級ボイラー技士試験の伸び悩みの突破｜220点→240点,https://boiler-master.jp/articles/plateau-breakthrough/,hand_done,yes,no,week_template,A,no,,
102,boiler-master.jp,ボイラー,retake-exam-strategy,復習・苦手克服,2級ボイラー技士試験の再受験対策｜弱点の潰し方,https://boiler-master.jp/articles/retake-exam-strategy/,hand_done,yes,no,week_template,A,no,,
103,boiler-master.jp,ボイラー,review-cycle-spaced,復習・苦手克服,2級ボイラー技士試験の間隔を空けた復習,https://boiler-master.jp/articles/review-cycle-spaced/,hand_done,yes,no,week_template,A,no,,
104,boiler-master.jp,ボイラー,similar-choices-trap,復習・苦手克服,似た選択肢の見分け方｜2級ボイラー技士のひっかけ対策,https://boiler-master.jp/articles/similar-choices-trap/,hand_done,yes,no,week_template,A,no,,
105,boiler-master.jp,ボイラー,study-plan,復習・苦手克服,2級ボイラー技士試験の勉強時間と学習計画の作り方,https://boiler-master.jp/articles/study-plan/,hand_done,yes,no,week_template,A,no,,
106,boiler-master.jp,ボイラー,common-misconceptions,注意点・更新,2級ボイラー技士試験のよくある誤解｜合格·試験·学習の5典型,https://boiler-master.jp/articles/common-misconceptions/,hand_done,yes,no,week_template,A,no,,
107,boiler-master.jp,ボイラー,difficulty-myths,注意点・更新,2級ボイラー技士試験の難易度の誤解｜合格率·過去問のみ等5典型,https://boiler-master.jp/articles/difficulty-myths/,hand_done,yes,no,week_template,A,no,,
108,boiler-master.jp,ボイラー,eligibility-myths,注意点・更新,2級ボイラー技士試験の受験資格の誤解,https://boiler-master.jp/articles/eligibility-myths/,hand_done,yes,no,week_template,A,no,,
109,boiler-master.jp,ボイラー,exam-changes,注意点・更新,2級ボイラー技士試験の制度変更点｜要項確認の習慣,https://boiler-master.jp/articles/exam-changes/,hand_done,yes,no,week_template,A,no,,
110,boiler-master.jp,ボイラー,legal-revision-impact,注意点・更新,2級ボイラー技士試験の法改正の学習への影響,https://boiler-master.jp/articles/legal-revision-impact/,hand_done,yes,no,week_template,A,no,,
111,boiler-master.jp,ボイラー,official-info-update-habits,注意点・更新,2級ボイラー技士試験の公式情報の更新確認習慣,https://boiler-master.jp/articles/official-info-update-habits/,hand_done,yes,no,week_template,A,no,,
112,boiler-master.jp,ボイラー,pass-announcement-guide,注意点・更新,2級ボイラー技士試験の合格発表の確認方法,https://boiler-master.jp/articles/pass-announcement-guide/,hand_done,yes,no,week_template,A,no,,
113,boiler-master.jp,ボイラー,pass-only-past-questions-myth,注意点・更新,2級ボイラー技士試験の過去問だけで合格できる誤解,https://boiler-master.jp/articles/pass-only-past-questions-myth/,hand_done,yes,no,week_template,A,no,,
114,boiler-master.jp,ボイラー,registration-after-pass,注意点・更新,2級ボイラー技士試験の合格後の登録·免許,https://boiler-master.jp/articles/registration-after-pass/,hand_done,yes,no,week_template,A,no,,
115,boiler-master.jp,ボイラー,retake-schedule-adjustment,注意点・更新,2級ボイラー技士試験の再受験の日程調整,https://boiler-master.jp/articles/retake-schedule-adjustment/,hand_done,yes,no,week_template,A,no,,
116,boiler-master.jp,ボイラー,retake-strategy,注意点・更新,2級ボイラー技士試験の再受験の戦略,https://boiler-master.jp/articles/retake-strategy/,hand_done,yes,no,week_template,A,no,,
117,boiler-master.jp,ボイラー,score-gap-analysis,注意点・更新,2級ボイラー技士試験の得点差の分析と対策,https://boiler-master.jp/articles/score-gap-analysis/,hand_done,yes,no,week_template,A,no,,
118,boiler-master.jp,ボイラー,study-hours-myth,注意点・更新,2級ボイラー技士試験の勉強時間の神話,https://boiler-master.jp/articles/study-hours-myth/,hand_done,yes,no,week_template,A,no,,
119,boiler-master.jp,ボイラー,syllabus-update-tracker,注意点・更新,2級ボイラー技士試験のシラバス·出題範囲の更新,https://boiler-master.jp/articles/syllabus-update-tracker/,hand_done,yes,no,week_template,A,no,,
120,boiler-master.jp,ボイラー,beginner-guide,独学対策,初学者向け2級ボイラー技士試験の始め方,https://boiler-master.jp/articles/beginner-guide/,hand_done,yes,no,week_template,A,no,,
121,boiler-master.jp,ボイラー,calculation-exam-tips,独学対策,2級ボイラー技士の計算問題の解き方｜単位と式の整理,https://boiler-master.jp/articles/calculation-exam-tips/,hand_done,yes,no,week_template,A,no,,
122,boiler-master.jp,ボイラー,common-mistakes,独学対策,2級ボイラー技士試験でよくある間違いと対策,https://boiler-master.jp/articles/common-mistakes/,hand_done,yes,no,week_template,A,no,,
123,boiler-master.jp,ボイラー,correspondence-course-guide,独学対策,2級ボイラー技士試験の通信講座の選び方,https://boiler-master.jp/articles/correspondence-course-guide/,hand_done,yes,no,week_template,A,no,,
124,boiler-master.jp,ボイラー,exam-anxiety-tips,独学対策,試験不安への対処｜2級ボイラー技士の本番前メンタル,https://boiler-master.jp/articles/exam-anxiety-tips/,hand_done,yes,no,week_template,A,no,,
125,boiler-master.jp,ボイラー,exam-day-checklist,独学対策,2級ボイラー技士試験の当日の持ち物・注意点チェックリスト,https://boiler-master.jp/articles/exam-day-checklist/,hand_done,yes,no,week_template,A,no,,
126,boiler-master.jp,ボイラー,first-exam-guide,独学対策,初めて2級ボイラー技士試験を受ける人向けガイド,https://boiler-master.jp/articles/first-exam-guide/,hand_done,yes,no,week_template,A,no,,
127,boiler-master.jp,ボイラー,flashcard-glossary-study,独学対策,用語カードで覚える2級ボイラー技士試験対策,https://boiler-master.jp/articles/flashcard-glossary-study/,hand_done,yes,no,week_template,A,no,,
128,boiler-master.jp,ボイラー,free-materials-online,独学対策,2級ボイラー技士試験の無料教材の活用,https://boiler-master.jp/articles/free-materials-online/,hand_done,yes,no,week_template,A,no,,
129,boiler-master.jp,ボイラー,glossary-study,独学対策,重要用語から覚える2級ボイラー技士試験対策,https://boiler-master.jp/articles/glossary-study/,hand_done,yes,no,week_template,A,no,,
130,boiler-master.jp,ボイラー,material-update-cycle,独学対策,2級ボイラー技士試験の教材の版・年度更新,https://boiler-master.jp/articles/material-update-cycle/,hand_done,yes,no,week_template,A,no,,
131,boiler-master.jp,ボイラー,mobile-study,独学対策,スマホで進める2級ボイラー技士試験対策,https://boiler-master.jp/articles/mobile-study/,hand_done,yes,no,week_template,A,no,,
132,boiler-master.jp,ボイラー,one-question-review,独学対策,一問一答で2級ボイラー技士の基礎知識を固める方法,https://boiler-master.jp/articles/one-question-review/,hand_done,yes,no,week_template,A,no,,
