site	kind,hub,cluster_key,count,members
kikenbutsu-master	angle_batch,numbers,ido-ukewatashi-num,2,ido-ukewatashi-num-s34:引渡し届数量 | ido-ukewatashi-num-s35:移動：政令・品名表で確認の数値
kikenbutsu-master	angle_batch,numbers,shitei-suryo-dai4,2,shitei-suryo-dai4-s32:第4類の指定数量（代表） | shitei-suryo-dai4-s33:第4類指定数量
kikenbutsu-master	angle_batch,numbers,tensou-kiroku-num,2,tensou-kiroku-num-s35:転送記録：政令・品名表確認の数値 | tensou-kiroku-num-s40:転送記録保存：政令・品名表確認の数値
kikenbutsu-master	angle_batch,mistakes,tensou-kiroku-mis,2,tensou-kiroku-mis-s35:転送記録：譲渡・引渡しと移送の混同誤り | tensou-kiroku-mis-s40:転送記録保存：譲渡・引渡しと移送の混同誤り
unkan-master	angle_batch,compare,kon-ippan-tokutei-cmp,2,s31-kon-ippan-tokutei-cmp:一般貨物と特定貨物の比較整理 | s35-kon-ippan-tokutei-cmp:一般貨物と特定貨物：一般貨物と特定貨物の比較整理の比較整理
unkan-master	angle_batch,compare,kon-jigyoyo-kisei-cmp,2,s31-kon-jigyoyo-kisei-cmp:事業用規制の比較整理 | s35-kon-jigyoyo-kisei-cmp:事業用規制：事業用規制の比較整理の比較整理
unkan-master	angle_batch,compare,kon-kyukei-kikan-cmp,2,s31-kon-kyukei-kikan-cmp:休息時間の比較整理 | s35-kon-kyukei-kikan-cmp:休息時間：休息時間の比較整理の比較整理
unkan-master	angle_batch,compare,kon-seibi-kanri-cmp,2,s31-kon-seibi-kanri-cmp:整備と運行の比較整理 | s35-kon-seibi-kanri-cmp:整備と運行：整備と運行の比較整理の比較整理
unkan-master	angle_batch,compare,kon-sennin-todoke-cmp,2,s31-kon-sennin-todoke-cmp:選任と届出の比較整理 | s35-kon-sennin-todoke-cmp:選任と届出：選任と届出の比較整理の比較整理
unkan-master	angle_batch,compare,kon-shuki-unten-cmp,2,s31-kon-shuki-unten-cmp:酒気帯び運転の比較整理 | s35-kon-shuki-unten-cmp:酒気帯び運転：酒気帯び運転の比較整理の比較整理
unkan-master	angle_batch,compare,kon-sokudo-kisei-cmp,2,s31-kon-sokudo-kisei-cmp:速度規制の比較整理 | s35-kon-sokudo-kisei-cmp:速度規制：速度規制の比較整理の比較整理
unkan-master	angle_batch,compare,kon-tenko-gimu-cmp,2,s31-kon-tenko-gimu-cmp:点呼義務の比較整理 | s35-kon-tenko-gimu-cmp:点呼義務：点呼義務の比較整理の比較整理
unkan-master	angle_batch,compare,kon-unkan-kanri-cmp,2,s31-kon-unkan-kanri-cmp:運行管理者制度の比較整理 | s35-kon-unkan-kanri-cmp:運行管理者制度：運行管理者制度の比較整理の比較整理
unkan-master	angle_batch,compare,kon-unko-kiroku-cmp,2,s31-kon-unko-kiroku-cmp:運行記録の比較整理 | s35-kon-unko-kiroku-cmp:運行記録：運行記録の比較整理の比較整理
unkan-master	angle_batch,numbers,kon-ippan-tokutei-num,2,s31-kon-ippan-tokutei-num:一般貨物と特定貨物の数値整理 | s35-kon-ippan-tokutei-num:一般貨物と特定貨物の数値整理：一般貨物自動車運送事業の数値整理
unkan-master	angle_batch,numbers,kon-jigyoyo-kisei-num,2,s31-kon-jigyoyo-kisei-num:事業用規制の数値整理 | s35-kon-jigyoyo-kisei-num:事業用規制の数値整理：事業用自動車の数値整理
unkan-master	angle_batch,numbers,kon-kyukei-kikan-num,2,s31-kon-kyukei-kikan-num:休息時間の数値整理 | s35-kon-kyukei-kikan-num:休息時間の数値整理：休息期間の数値整理
unkan-master	angle_batch,numbers,kon-seibi-kanri-num,2,s31-kon-seibi-kanri-num:整備と運行の数値整理 | s35-kon-seibi-kanri-num:整備と運行の数値整理：整備管理者の数値整理
unkan-master	angle_batch,numbers,kon-sennin-todoke-num,2,s31-kon-sennin-todoke-num:選任と届出の数値整理 | s35-kon-sennin-todoke-num:選任と届出の数値整理：運行管理者選任届の数値整理
unkan-master	angle_batch,numbers,kon-shuki-unten-num,2,s31-kon-shuki-unten-num:酒気帯び運転の数値整理 | s35-kon-shuki-unten-num:酒気帯び運転の数値整理：酒気帯びの数値整理
unkan-master	angle_batch,numbers,kon-sokudo-kisei-num,2,s31-kon-sokudo-kisei-num:速度規制の数値整理 | s35-kon-sokudo-kisei-num:速度規制の数値整理：速度制限の数値整理
unkan-master	angle_batch,numbers,kon-tenko-gimu-num,2,s31-kon-tenko-gimu-num:点呼義務の数値整理 | s35-kon-tenko-gimu-num:点呼義務の数値整理：点呼の数値整理
unkan-master	angle_batch,numbers,kon-unkan-kanri-num,2,s31-kon-unkan-kanri-num:運行管理者制度の数値整理 | s35-kon-unkan-kanri-num:運行管理者制度の数値整理：運行管理者の数値整理
unkan-master	angle_batch,numbers,kon-unko-kiroku-num,2,s31-kon-unko-kiroku-num:運行記録の数値整理 | s35-kon-unko-kiroku-num:運行記録の数値整理：運行記録の数値整理
unkan-master	angle_batch,mistakes,kon-ippan-tokutei-mis,2,s31-kon-ippan-tokutei-mis:一般貨物と特定貨物の典型誤答 | s35-kon-ippan-tokutei-mis:一般貨物と特定貨物：一般貨物自動車運送事業の典型誤答
unkan-master	angle_batch,mistakes,kon-jigyoyo-kisei-mis,2,s31-kon-jigyoyo-kisei-mis:事業用規制の典型誤答 | s35-kon-jigyoyo-kisei-mis:事業用規制：事業用自動車の典型誤答
unkan-master	angle_batch,mistakes,kon-kyukei-kikan-mis,2,s31-kon-kyukei-kikan-mis:休息時間の典型誤答 | s35-kon-kyukei-kikan-mis:休息時間：休息期間の典型誤答
unkan-master	angle_batch,mistakes,kon-seibi-kanri-mis,2,s31-kon-seibi-kanri-mis:整備と運行の典型誤答 | s35-kon-seibi-kanri-mis:整備と運行：整備管理者の典型誤答
unkan-master	angle_batch,mistakes,kon-sennin-todoke-mis,2,s31-kon-sennin-todoke-mis:選任と届出の典型誤答 | s35-kon-sennin-todoke-mis:選任と届出：運行管理者選任届の典型誤答
unkan-master	angle_batch,mistakes,kon-shuki-unten-mis,2,s31-kon-shuki-unten-mis:酒気帯び運転の典型誤答 | s35-kon-shuki-unten-mis:酒気帯び運転：酒気帯びの典型誤答
unkan-master	angle_batch,mistakes,kon-sokudo-kisei-mis,2,s31-kon-sokudo-kisei-mis:速度規制の典型誤答 | s35-kon-sokudo-kisei-mis:速度規制：速度制限の典型誤答
unkan-master	angle_batch,mistakes,kon-tenko-gimu-mis,2,s31-kon-tenko-gimu-mis:点呼義務の典型誤答 | s35-kon-tenko-gimu-mis:点呼義務：点呼の典型誤答
unkan-master	angle_batch,mistakes,kon-unkan-kanri-mis,2,s31-kon-unkan-kanri-mis:運行管理者制度の典型誤答 | s35-kon-unkan-kanri-mis:運行管理者制度：運行管理者の典型誤答
unkan-master	angle_batch,mistakes,kon-unko-kiroku-mis,2,s31-kon-unko-kiroku-mis:運行記録の典型誤答 | s35-kon-unko-kiroku-mis:運行記録：運行記録の典型誤答
mankan-master	angle_batch,compare,kon-bunri-shobun-cmp,2,s31-kon-bunri-shobun-cmp:分離処分の比較整理 | s35-kon-bunri-shobun-cmp:分離処分：分離処分の比較整理の比較整理
mankan-master	angle_batch,compare,kon-futsu-tokubetsu-cmp,2,s31-kon-futsu-tokubetsu-cmp:普通決議と特別多数決議の比較整理 | s35-kon-futsu-tokubetsu-cmp:普通決議と特別多数決議：普通決議と特別多数決議の比較整理の比較整理
mankan-master	angle_batch,compare,kon-gijiroku-cmp,2,s31-kon-gijiroku-cmp:議事録の比較整理 | s35-kon-gijiroku-cmp:議事録：議事録の比較整理の比較整理
mankan-master	angle_batch,compare,kon-giketsuken-cmp,2,s31-kon-giketsuken-cmp:議決権の比較整理 | s35-kon-giketsuken-cmp:議決権：議決権の比較整理の比較整理
mankan-master	angle_batch,compare,kon-hotei-kiyaku-cmp,2,s31-kon-hotei-kiyaku-cmp:法定共用と規約共用の比較整理 | s35-kon-hotei-kiyaku-cmp:法定共用と規約共用：法定共用と規約共用の比較整理の比較整理
mankan-master	angle_batch,compare,kon-kanri-kumiai-cmp,2,s31-kon-kanri-kumiai-cmp:管理組合の比較整理 | s35-kon-kanri-kumiai-cmp:管理組合：管理組合の比較整理の比較整理
mankan-master	angle_batch,compare,kon-kubun-shoyusha-cmp,2,s31-kon-kubun-shoyusha-cmp:区分所有者の比較整理 | s35-kon-kubun-shoyusha-cmp:区分所有者：区分所有者の比較整理の比較整理
mankan-master	angle_batch,compare,kon-senyu-kyoyou-cmp,2,s31-kon-senyu-kyoyou-cmp:専有部分と共用部分の比較整理 | s35-kon-senyu-kyoyou-cmp:専有部分と共用部分：専有部分と共用部分の比較整理の比較整理
mankan-master	angle_batch,compare,kon-shikichi-riyou-cmp,2,s31-kon-shikichi-riyou-cmp:敷地と敷地利用権の比較整理 | s35-kon-shikichi-riyou-cmp:敷地と敷地利用権：敷地と敷地利用権の比較整理の比較整理
mankan-master	angle_batch,compare,kon-shuchou-ketsugi-cmp,2,s31-kon-shuchou-ketsugi-cmp:招集と決議の比較整理 | s35-kon-shuchou-ketsugi-cmp:招集と決議：招集と決議の比較整理の比較整理
mankan-master	angle_batch,numbers,kon-bunri-shobun-num,2,s31-kon-bunri-shobun-num:分離処分の数値整理 | s35-kon-bunri-shobun-num:分離処分の数値整理：分離処分の禁止の数値整理
mankan-master	angle_batch,numbers,kon-futsu-tokubetsu-num,2,s31-kon-futsu-tokubetsu-num:普通決議と特別多数決議の数値整理 | s35-kon-futsu-tokubetsu-num:普通決議と特別多数決議の数値整理：普通決議の数値整理
mankan-master	angle_batch,numbers,kon-gijiroku-num,2,s31-kon-gijiroku-num:議事録の数値整理 | s35-kon-gijiroku-num:議事録の数値整理：議事録の数値整理
mankan-master	angle_batch,numbers,kon-giketsuken-num,2,s31-kon-giketsuken-num:議決権の数値整理 | s35-kon-giketsuken-num:議決権の数値整理：議決権の数値整理
mankan-master	angle_batch,numbers,kon-hotei-kiyaku-num,2,s31-kon-hotei-kiyaku-num:法定共用と規約共用の数値整理 | s35-kon-hotei-kiyaku-num:法定共用と規約共用の数値整理：法定共用部分の数値整理
mankan-master	angle_batch,numbers,kon-kanri-kumiai-num,2,s31-kon-kanri-kumiai-num:管理組合の数値整理 | s35-kon-kanri-kumiai-num:管理組合の数値整理：管理組合の数値整理
mankan-master	angle_batch,numbers,kon-kubun-shoyusha-num,2,s31-kon-kubun-shoyusha-num:区分所有者の数値整理 | s35-kon-kubun-shoyusha-num:区分所有者の数値整理：区分所有者の数値整理
mankan-master	angle_batch,numbers,kon-senyu-kyoyou-num,2,s31-kon-senyu-kyoyou-num:専有部分と共用部分の数値整理 | s35-kon-senyu-kyoyou-num:専有部分と共用部分の数値整理：専有部分の数値整理
mankan-master	angle_batch,numbers,kon-shikichi-riyou-num,2,s31-kon-shikichi-riyou-num:敷地と敷地利用権の数値整理 | s35-kon-shikichi-riyou-num:敷地と敷地利用権の数値整理：敷地の数値整理
mankan-master	angle_batch,numbers,kon-shuchou-ketsugi-num,2,s31-kon-shuchou-ketsugi-num:招集と決議の数値整理 | s35-kon-shuchou-ketsugi-num:招集と決議の数値整理：招集通知の数値整理
mankan-master	angle_batch,mistakes,kon-bunri-shobun-mis,2,s31-kon-bunri-shobun-mis:分離処分の典型誤答 | s35-kon-bunri-shobun-mis:分離処分：分離処分の禁止の典型誤答
mankan-master	angle_batch,mistakes,kon-futsu-tokubetsu-mis,2,s31-kon-futsu-tokubetsu-mis:普通決議と特別多数決議の典型誤答 | s35-kon-futsu-tokubetsu-mis:普通決議と特別多数決議：普通決議の典型誤答
mankan-master	angle_batch,mistakes,kon-gijiroku-mis,2,s31-kon-gijiroku-mis:議事録の典型誤答 | s35-kon-gijiroku-mis:議事録：議事録の典型誤答
mankan-master	angle_batch,mistakes,kon-giketsuken-mis,2,s31-kon-giketsuken-mis:議決権の典型誤答 | s35-kon-giketsuken-mis:議決権：議決権の典型誤答
mankan-master	angle_batch,mistakes,kon-hotei-kiyaku-mis,2,s31-kon-hotei-kiyaku-mis:法定共用と規約共用の典型誤答 | s35-kon-hotei-kiyaku-mis:法定共用と規約共用：法定共用部分の典型誤答
mankan-master	angle_batch,mistakes,kon-kanri-kumiai-mis,2,s31-kon-kanri-kumiai-mis:管理組合の典型誤答 | s35-kon-kanri-kumiai-mis:管理組合：管理組合の典型誤答
mankan-master	angle_batch,mistakes,kon-kubun-shoyusha-mis,2,s31-kon-kubun-shoyusha-mis:区分所有者の典型誤答 | s35-kon-kubun-shoyusha-mis:区分所有者：区分所有者の典型誤答
mankan-master	angle_batch,mistakes,kon-senyu-kyoyou-mis,2,s31-kon-senyu-kyoyou-mis:専有部分と共用部分の典型誤答 | s35-kon-senyu-kyoyou-mis:専有部分と共用部分：専有部分の典型誤答
mankan-master	angle_batch,mistakes,kon-shikichi-riyou-mis,2,s31-kon-shikichi-riyou-mis:敷地と敷地利用権の典型誤答 | s35-kon-shikichi-riyou-mis:敷地と敷地利用権：敷地の典型誤答
mankan-master	angle_batch,mistakes,kon-shuchou-ketsugi-mis,2,s31-kon-shuchou-ketsugi-mis:招集と決議の典型誤答 | s35-kon-shuchou-ketsugi-mis:招集と決議：招集通知の典型誤答
